year,j_day,actual,calculated,difference,delta,runoff,evaporation,transpiration,drainage
,,mmH2O,mmH2O,mmH2O,mmH2O,mmH2O,mmH2O,mmH2O,mmH2O
2009,244,0.0,1.6431300764452317e-14,-1.6431300764452317e-14,-2.068476371538452,0.0,2.0684763715384684,0.0,0.0
2009,245,0.0,-2.6867397195928788e-14,2.6867397195928788e-14,-1.8047438716751003,0.0,1.8047438716750734,0.0,0.0
2009,246,0.0,1.2656542480726785e-14,-1.2656542480726785e-14,-1.6971493690954276,0.0,1.6971493690954402,0.0,0.0
2009,247,0.0,1.021405182655144e-14,-1.021405182655144e-14,-1.401216180937297,0.0,1.4012161809373072,0.0,0.0
2009,248,0.0,-8.215650382226158e-15,8.215650382226158e-15,-1.3310229796533974,0.0,1.3310229796533892,0.0,0.0
2009,249,0.0,-6.661338147750939e-16,6.661338147750939e-16,-1.2287297936250923,0.0,1.2287297936250916,0.0,0.0
2009,250,0.0,-1.4876988529977098e-14,1.4876988529977098e-14,-1.077211208372887,0.0,1.0772112083728722,0.0,0.0
2009,251,0.0,2.3314683517128287e-14,-2.3314683517128287e-14,-0.9693420781896407,0.0,0.969342078189664,0.0,0.0
2009,252,0.0,-6.328271240363392e-15,6.328271240363392e-15,-0.9092912163054905,0.0,0.9092912163054842,0.0,0.0
2009,253,0.0,3.552713678800501e-15,-3.552713678800501e-15,-0.7980120851892565,0.0,0.79801208518926,0.0,0.0
2009,254,0.0,-4.218847493575595e-15,4.218847493575595e-15,-0.922118792691677,0.0,0.9221187926916727,0.0,0.0
2009,255,0.0,-1.7763568394002505e-15,1.7763568394002505e-15,-0.7599330117904515,0.0,0.7599330117904497,0.0,0.0
2009,256,0.0,3.885780586188048e-15,-3.885780586188048e-15,-0.6634296562064605,0.0,0.6634296562064644,0.0,0.0
2009,257,0.0,-8.104628079763643e-15,8.104628079763643e-15,-0.6414639911293847,0.0,0.6414639911293766,0.0,0.0
2009,258,0.0,6.994405055138486e-15,-6.994405055138486e-15,-0.6271336844410058,0.0,0.6271336844410128,0.0,0.0
2009,259,0.0,5.329070518200751e-15,-5.329070518200751e-15,-0.5816946029687813,0.0,0.5816946029687866,0.0,0.0
2009,260,0.0,-9.825473767932635e-15,9.825473767932635e-15,-0.4967394601221713,0.0,0.49673946012216147,0.0,0.0
2009,261,0.0,1.9484414082171497e-14,-1.9484414082171497e-14,-0.46575912219569204,0.0,0.46575912219571153,0.0,0.0
2009,262,0.0,-2.5202062658991053e-14,2.5202062658991053e-14,-0.44898679910912165,0.0,0.44898679910909645,0.0,0.0
2009,263,0.0,5.995204332975845e-15,-5.995204332975845e-15,-0.4296647488222334,0.0,0.4296647488222394,0.0,0.0
2009,264,3.048,3.0480000000000005,-4.440892098500626e-16,2.711243096864706,0.0,0.3367569031352942,0.0,0.0
2009,265,1.778,1.778000000000005,-4.884981308350689e-15,1.4228908786630683,0.0,0.35510912133693656,0.0,0.0
2009,266,28.194,28.194000000000003,-3.552713678800501e-15,23.00084428734256,4.882925759559737,0.31022995309770546,0.0,0.0
2009,267,0.508,0.5080000000000031,-3.1086244689504383e-15,-0.9424986469877297,0.0,1.4504986469877328,0.0,0.0
2009,268,0.0,5.773159728050814e-15,-5.773159728050814e-15,-1.363486624938787,0.0,1.3634866249387927,0.0,0.0
2009,269,3.048,3.048000000000008,-7.993605777301127e-15,-5.504354233583626,0.0,0.7755553148656712,0.0,7.776798918717963
2009,270,0.0,-5.995204332975845e-15,5.995204332975845e-15,-1.499591223488295,0.0,1.499591223488289,0.0,0.0
2009,271,4.318,4.317999999999991,8.881784197001252e-15,3.0698185960995374,0.0,1.2481814039004533,0.0,0.0
2009,272,1.524,1.524000000000028,-2.7977620220553945e-14,0.5417732223565963,0.0,0.9822267776434316,0.0,0.0
2009,273,0.0,-1.5987211554602254e-14,1.5987211554602254e-14,-1.090086297743568,0.0,1.090086297743552,0.0,0.0
2009,274,0.0,-1.554312234475219e-14,1.554312234475219e-14,-2.611346360819283,0.0,1.0646718011651202,0.0,1.5466745596541474
2009,275,20.32,20.320000000000014,-1.4210854715202004e-14,15.995322536799932,2.9632984378129428,0.8224055367180617,0.0,0.5389734886690803
2009,276,2.54,2.539999999999992,7.993605777301127e-15,1.9099197326097794,0.0,0.6300802673902127,0.0,0.0
2009,277,0.254,0.25399999999999834,1.6653345369377348e-15,-0.3528798365405237,0.0,0.606879836540522,0.0,0.0
2009,278,0.0,1.2434497875801753e-14,-1.2434497875801753e-14,-15.303671596510185,0.0,0.9117051028639642,0.0,14.391966493646233
2009,279,6.096,6.096000000000005,-5.329070518200751e-15,3.3945915510226996,0.0,0.7920629413700694,0.0,1.9093455076072368
2009,280,4.064,4.063999999999986,1.4210854715202004e-14,3.1265791610534563,0.0,0.9374208389465296,0.0,0.0
2009,281,0.0,1.3322676295501878e-15,-1.3322676295501878e-15,-0.8873555001567297,0.0,0.887355500156731,0.0,0.0
2009,282,1.27,1.2699999999999854,1.4654943925052066e-14,-3.389601882012869,0.0,0.6276498331292684,0.0,4.031952048883586
2009,283,0.0,1.1102230246251565e-14,-1.1102230246251565e-14,-3.8809418121435044,0.0,0.7525711699200057,0.0,3.12837064222351
2009,284,0.0,2.4424906541753444e-15,-2.4424906541753444e-15,-0.6078047331596963,0.0,0.6078047331596987,0.0,0.0
2009,285,0.0,-1.2989609388114332e-14,1.2989609388114332e-14,-0.5439433447622548,0.0,0.5439433447622418,0.0,0.0
2009,286,0.0,-6.8833827526759706e-15,6.8833827526759706e-15,-0.5132398495738926,0.0,0.5132398495738857,0.0,0.0
2009,287,1.778,1.778,0.0,1.268215097825049,0.0,0.509784902174951,0.0,0.0
2009,288,2.032,2.0319999999999996,4.440892098500626e-16,1.4499852869183485,0.0,0.5820147130816511,0.0,0.0
2009,289,3.81,3.810000000000005,-4.884981308350689e-15,3.275988064662215,0.0,0.5340119353377897,0.0,0.0
2009,290,0.0,1.7208456881689926e-14,-1.7208456881689926e-14,-0.6187509494699555,0.0,0.6187509494699727,0.0,0.0
2009,291,0.0,-1.4002687898084787e-14,1.4002687898084787e-14,-0.6196971565665876,0.0,0.5556607325814068,0.0,0.06403642398516683
