year,actual,calculated,difference,delta,N_drainage,N_runoff,N_erosion,N_uptake
,kg,kg,kg,kg,kg,kg,kg,kg
1970,0.0,-124.83843115287152,124.83843115287152,-172.39711733845277,0.0,0.7733797508786141,0.0004641434530642429,46.784842291249596
1971,0.0,321.8872729744038,-321.8872729744038,32.66757255780766,0.0,10.768824900520947,0.07944563326443756,278.37142988281073
1972,0.0,1496.1034096904104,-1496.1034096904104,1180.114688483157,0.0,37.479671668655385,0.13761965578730606,278.37142988281073
1973,0.0,-304.2874541007277,304.2874541007277,-1205.3655057407677,0.0,26.43390774666052,0.6009508472284968,874.0431930461511
1974,0.0,2858.755689135687,-2858.755689135687,1881.4393368540755,0.0,102.85970328974847,0.41345594571176303,874.0431930461511
1975,0.0,-40.92178123923031,40.92178123923031,-1874.0515932750588,0.0,31.679244878317526,0.567753605786109,1800.882813551725
1976,0.0,7400.271397757359,-7400.271397757359,5553.949099374346,0.0,44.41984994620396,1.0196348850846386,1800.882813551725
1977,0.0,5479.144499157322,-5479.144499157322,2581.264629770354,0.0,81.83643952005491,2.1678073792442167,2813.8756224876684
1978,0.0,11247.851459246478,-11247.851459246478,7409.119660721064,0.0,74.97168687358595,2.3206582164890017,3761.439453435339
1979,0.0,13381.70385257686,-13381.70385257686,9492.41311761965,0.0,124.72113185155877,3.130149670313222,3761.439453435339
1980,0.0,8116.842089172298,-8116.842089172298,3222.731346316057,0.0,240.91554052435507,7.563688746167135,4645.631513585719
1981,0.0,10731.488328350557,-10731.488328350557,5809.346080057818,0.0,269.8190529392407,6.691681767779395,4645.631513585719
1982,0.0,8493.374091337017,-8493.374091337017,2588.3473193795653,0.0,340.9487983891103,5.387256893918863,5558.690716674422
1983,0.0,7931.7879830559905,-7931.7879830559905,1870.2853832168475,0.0,491.66095350986006,11.150929654860194,5558.690716674422
1984,0.0,6663.694924257486,-6663.694924257486,-105.71065068754251,0.0,483.04343269575287,11.097746226719341,6275.264396022556
1985,0.0,10931.447361731298,-10931.447361731298,3931.943217533888,0.0,251.08084249071436,7.37328184265519,6741.050019864041
1986,0.0,8643.33643205712,-8643.33643205712,1616.7139748634363,0.0,278.83954817892476,6.732889150718405,6741.050019864041
1987,0.0,5555.5352546977865,-5555.5352546977865,-2076.7741210191307,0.0,385.4699301540947,12.022353968194405,7234.8170915946275
1988,0.0,6720.893713608217,-6720.893713608217,-882.8071471507064,0.0,360.15563334821655,8.728135816078815,7234.8170915946275
1989,0.0,7497.320200136893,-7497.320200136893,-603.5157053479415,0.0,413.7975953843222,6.239316738509141,7680.798993362003
1990,0.0,4413.176322577252,-4413.176322577252,-3786.8448798659883,0.0,507.92386044624755,11.298348634989946,7680.798993362003
1991,0.0,5618.89258913047,-5618.89258913047,-2839.701923571287,0.0,442.41257132175093,10.174142338564359,8006.007799041442
1992,0.0,8692.999510152946,-8692.999510152946,232.52774470555596,0.0,233.2095189373485,6.187802354897424,8221.074444155143
1993,0.0,7223.490631569215,-7223.490631569215,-1219.6735521640148,0.0,216.92085185813795,5.168887719948582,8221.074444155143
1994,0.0,5923.92075624799,-5923.92075624799,-2850.8114590401274,0.0,314.3371491199731,8.8003878819922,8451.594678286152
1995,0.0,6844.203798737425,-6844.203798737425,-2002.666631191165,0.0,234.91461055356513,5.7737659378884585,8606.182053437136
1996,0.0,7835.0800290510815,-7835.0800290510815,-1085.3925804910905,0.0,309.8167476914493,4.473808413586772,8606.182053437136
1997,0.0,5250.351754953299,-5250.351754953299,-3851.930562662332,0.0,327.98993714314327,6.922323099173819,8767.370057373313
1998,0.0,6776.101846802659,-6776.101846802659,-2287.696311706408,0.0,289.8145931314027,6.613508004350912,8767.370057373313
1999,0.0,8087.181844859375,-8087.181844859375,-959.960538065232,0.0,145.7875836667712,3.681121352704218,8897.673677905132
2000,0.0,7839.783197900645,-7839.783197900645,-1189.85558843541,0.0,129.00379330849444,2.9613151224290792,8897.673677905132
2001,0.0,7217.2842285066545,-7217.2842285066545,-1988.0014366253126,0.0,195.7766411364787,5.030210550687177,9004.4788134448
2002,0.0,7552.308729382388,-7552.308729382388,-1664.9131788032973,0.0,137.2938973172564,3.1767199829581334,9076.751290885471
2003,0.0,8424.168698514804,-8424.168698514804,-825.3772978786747,0.0,170.35727097587267,2.4374345321350437,9076.751290885471
2004,0.0,7031.633265655382,-7031.633265655382,-2292.5724870958165,0.0,173.42159233468058,3.8302191593351522,9146.953941257183
2005,0.0,7875.8775526766785,-7875.8775526766785,-1422.5673349523186,0.0,147.8770028592104,3.6139435126042723,9146.953941257183
2006,0.0,8788.801718945391,-8788.801718945391,-497.2999124361977,0.0,77.03545233887388,2.1321367495711097,9206.934042293144
2007,0.0,8642.158300233761,-8642.158300233761,-632.5854581009335,0.0,66.12956806742608,1.6801479741247898,9206.934042293144
