year,actual,calculated,difference,delta,runoff,evaporation,transpiration,drainage
,mmH2O,mmH2O,mmH2O,mmH2O,mmH2O,mmH2O,mmH2O,mmH2O
1980,965.0,965.0,0.0,-70.324,137.904,282.916,0.0,614.504
1981,875.0,875.0,0.0,0.596,76.847,284.24,0.0,513.318
1982,911.0,911.0,0.0,-0.675,129.266,286.602,0.0,495.808
1983,898.0,898.0,-0.0,-0.515,125.651,274.81,0.0,498.054
1984,1020.0,1020.0,-0.0,3.732,143.522,291.175,0.0,581.57
1985,1057.0,1057.0,0.0,-6.274,183.579,284.058,0.0,595.637
1986,960.0,960.0,-0.0,-2.508,172.987,288.463,0.0,501.058
1987,895.0,895.0,0.0,5.68,121.063,292.652,0.0,475.605
1988,733.0,733.0,-0.0,2.844,78.512,256.035,0.0,395.609
1989,622.0,622.0,-0.0,-0.753,65.179,259.768,29.575,268.231
1990,952.0,952.0,-0.0,3.129,103.495,243.823,163.739,437.814
1991,1027.0,1027.0,0.0,-9.505,156.661,191.679,182.692,505.474
1992,961.0,961.0,0.0,7.298,171.799,206.159,122.38,453.363
1993,1177.0,1177.0,0.0,-6.281,175.106,234.737,140.913,632.524
1994,969.0,969.0,0.0,-2.58,90.85,208.79,160.104,511.835
1995,988.0,988.0,0.0,4.228,82.16,198.514,184.739,518.359
1996,830.0,830.0,0.0,-0.891,136.458,206.245,133.235,354.954
1997,963.0,963.0,0.0,-0.954,147.436,210.287,146.209,460.022
1998,1024.0,1024.0,0.0,-0.593,141.121,196.471,150.204,536.798
1999,1013.0,1013.0,0.0,0.509,128.84,213.914,153.807,515.93
2000,1133.0,1133.0,0.0,7.089,176.156,209.713,161.83,578.211
2001,1168.0,1168.0,-0.0,-5.696,172.978,218.703,99.697,682.319
2002,768.0,768.0,0.0,-2.649,93.283,200.12,150.21,327.036
2003,932.0,932.0,-0.0,4.832,120.787,175.997,192.829,437.555
2004,1111.0,1111.0,0.0,-3.333,160.601,209.022,172.658,572.053
2005,784.0,784.0,-0.0,-0.499,125.377,188.681,116.381,354.059
2006,1120.0,1120.0,0.0,-0.176,158.013,212.536,168.193,581.434
2007,1150.0,1150.0,-0.0,5.454,197.203,191.981,184.378,570.984
2008,1216.0,1216.0,0.0,1.821,325.058,202.803,146.396,539.921
2009,995.0,995.0,-0.0,-3.345,195.043,193.099,137.892,472.311
2010,1120.0,1120.0,0.0,-1.583,192.373,209.445,162.129,557.636
2011,844.0,844.0,-0.0,-0.339,100.325,215.224,159.986,368.804
2012,725.0,725.0,0.0,1.169,102.066,188.496,178.474,254.794
2013,1040.0,1040.0,0.0,-2.525,170.222,211.221,134.66,526.423
2014,927.0,927.0,-0.0,-0.01,139.127,210.103,149.33,428.45
2015,1026.0,1026.0,-0.0,6.163,132.047,186.352,190.602,510.836
2016,1120.0,1120.0,0.0,-5.085,140.637,241.855,155.4,587.193
2017,928.0,928.0,-0.0,-0.163,97.926,216.199,151.146,462.891
2018,1197.0,1197.0,0.0,5.157,216.935,206.526,143.362,625.019
2019,1235.0,1235.0,-0.0,3.31,246.491,227.473,144.345,613.38
