year,j_day,num_animals,achieved_price,2,24,36,38,91,102,137,8g,87g
,,,,kg,kg,kg,kg,kg,kg,kg,kg,kg
2009,244,248,1116.0,186.0,1984,1240,496,1240,496,79.36,0,0
2009,251,242,1089.0,181.5,1936,1210,484,1210,484,77.44,0,0
2009,258,238,1071.0,178.5,1904,1190,476,1190,476,76.16,0,0
2009,265,229,1030.5,171.75,1832,1145,458,1145,458,73.28,0,0
2009,272,226,1017.0,169.5,1808,1130,452,1130,452,72.32000000000001,0,0
2009,279,260,1170.0,195.0,2080,1300,520,1300,520,83.2,0,0
2009,286,258,1161.0,193.5,2064,1290,516,1290,516,82.56,0,0
2009,293,259,1165.5,194.25,2072,1295,518,1295,518,82.88,0,0
2009,300,258,1161.0,193.5,2064,1290,516,1290,516,82.56,0,0
2009,307,260,1170.0,195.0,2080,1300,520,1300,520,83.2,0,0
2009,314,258,1161.0,193.5,2064,1290,516,1290,516,82.56,0,0
2009,321,260,1170.0,195.0,2080,1300,520,1300,520,83.2,0,0
2009,328,260,1170.0,195.0,2080,1300,520,1300,520,83.2,0,0
2009,335,260,1170.0,195.0,2080,1300,520,1300,520,83.2,0,0
2009,342,260,1170.0,195.0,2080,1300,520,1300,520,83.2,0,0
2009,349,258,1161.0,193.5,2064,1290,516,1290,516,82.56,0,0
2009,356,260,1170.0,195.0,2080,1300,520,1300,520,83.2,0,0
2009,363,258,1161.0,193.5,2064,1290,516,1290,516,82.56,0,0
2010,5,260,1170.0,195.0,2080,1300,520,1300,520,83.2,0,0
2010,12,260,1170.0,195.0,2080,1300,520,1300,520,83.2,0,0
2010,19,260,1170.0,195.0,2080,1300,520,1300,520,83.2,0,0
2010,26,258,1161.0,193.5,2064,1290,516,1290,516,82.56,0,0
2010,33,260,1170.0,195.0,2080,1300,520,1300,520,83.2,0,0
2010,40,259,1165.5,194.25,2072,1295,518,1295,518,82.88,0,0
2010,47,260,1170.0,195.0,2080,1300,520,1300,520,83.2,0,0
2010,54,258,1161.0,193.5,2064,1290,516,1290,516,82.56,0,0
2010,61,260,1170.0,195.0,2080,1300,520,1300,520,83.2,0,0
2010,68,259,1165.5,194.25,2072,1295,518,1295,518,82.88,0,0
2010,75,260,1170.0,195.0,2080,1300,520,1300,520,83.2,0,0
2010,82,258,1161.0,193.5,2064,1290,516,1290,516,82.56,0,0
2010,89,259,1165.5,194.25,2072,1295,518,1295,518,82.88,0,0
2010,96,258,1161.0,193.5,2064,1290,516,1290,516,82.56,0,0
2010,103,259,1165.5,194.25,2072,1295,518,1295,518,82.88,0,0
2010,110,259,1165.5,194.25,2072,1295,518,1295,518,82.88,0,0
2010,117,260,1170.0,195.0,2080,1300,520,1300,520,83.2,0,0
2010,124,259,1165.5,194.25,2072,1295,518,1295,518,82.88,0,0
2010,131,259,1165.5,194.25,2072,1295,518,1295,518,82.88,0,0
2010,138,258,1161.0,193.5,2064,1290,516,1290,516,82.56,0,0
2010,145,258,1161.0,193.5,2064,1290,516,1290,516,82.56,0,0
2010,152,269,1210.5,201.75,2152,1345,538,1345,538,86.08,0,0
2010,159,277,1246.5,207.75,2216,1385,554,1385,554,88.64,0,0
2010,166,275,1237.5,206.25,2200,1375,550,1375,550,88.0,0,0
2010,173,275,1237.5,206.25,2200,1375,550,1375,550,88.0,0,0
2010,180,266,1197.0,199.5,2128,1330,532,1330,532,85.12,0,0
2010,187,208,936.0,156.0,1664,1040,416,1040,416,66.56,0,0
2010,194,37,166.5,27.75,296,185,74,185,74,11.84,0,0
2010,201,0,0,0,0,0,0,0,0,0,0,0
2010,208,0,0,0,0,0,0,0,0,0,0,0
2010,215,0,0,0,0,0,0,0,0,0,0,0
2010,222,0,0,0,0,0,0,0,0,0,0,0
2010,229,0,0,0,0,0,0,0,0,0,0,0
2010,236,0,0,0,0,0,0,0,0,0,0,0
2010,243,0,0,0,0,0,0,0,0,0,0,0
2010,250,0,0,0,0,0,0,0,0,0,0,0
2010,257,0,0,0,0,0,0,0,0,0,0,0
2010,264,21,94.5,15.75,168,105,42,105,42,6.72,0,0
2010,271,0,0,0,0,0,0,0,0,0,0,0
2010,278,0,0,0,0,0,0,0,0,0,0,0
2010,285,0,0,0,0,0,0,0,0,0,0,0
2010,292,0,0,0,0,0,0,0,0,0,0,0
2010,299,67,301.5,50.25,536,335,134,335,134,21.44,0,0
2010,306,91,409.5,68.25,728,455,182,455,182,29.12,0,0
2010,313,82,369.0,61.5,656,410,164,410,164,26.240000000000002,0,0
2010,320,64,288.0,48.0,512,320,128,320,128,20.48,0,0
2010,327,59,265.5,44.25,472,295,118,295,118,18.88,0,0
2010,334,92,414.0,69.0,736,460,184,460,184,29.44,0,0
2010,341,127,571.5,95.25,1016,635,254,635,254,40.64,0,0
2010,348,144,648.0,108.0,1152,720,288,720,288,46.08,0,0
2010,355,144,648.0,108.0,1152,720,288,720,288,46.08,0,0
2010,362,144,648.0,108.0,1152,720,288,720,288,46.08,0,0
2011,4,140,630.0,105.0,1120,700,280,700,280,44.800000000000004,0,0
2011,11,147,661.5,110.25,1176,735,294,735,294,47.04,0,0
2011,18,165,742.5,123.75,1320,825,330,825,330,52.800000000000004,0,0
2011,25,182,819.0,136.5,1456,910,364,910,364,58.24,0,0
2011,32,194,873.0,145.5,1552,970,388,970,388,62.08,0,0
2011,39,198,891.0,148.5,1584,990,396,990,396,63.36,0,0
2011,46,198,891.0,148.5,1584,990,396,990,396,63.36,0,0
2011,53,199,895.5,149.25,1592,995,398,995,398,63.68,0,0
2011,60,194,873.0,145.5,1552,970,388,970,388,62.08,0,0
2011,67,208,936.0,156.0,1664,1040,416,1040,416,66.56,0,0
2011,74,210,945.0,157.5,1680,1050,420,1050,420,67.2,0,0
2011,81,216,972.0,162.0,1728,1080,432,1080,432,69.12,0,0
2011,88,214,963.0,160.5,1712,1070,428,1070,428,68.48,0,0
2011,95,214,963.0,160.5,1712,1070,428,1070,428,68.48,0,0
2011,102,206,927.0,154.5,1648,1030,412,1030,412,65.92,0,0
2011,109,202,909.0,151.5,1616,1010,404,1010,404,64.64,0,0
2011,116,196,882.0,147.0,1568,980,392,980,392,62.72,0,0
2011,123,194,873.0,145.5,1552,970,388,970,388,62.08,0,0
2011,130,204,918.0,153.0,1632,1020,408,1020,408,65.28,0,0
2011,137,216,972.0,162.0,1728,1080,432,1080,432,69.12,0,0
2011,144,226,1017.0,169.5,1808,1130,452,1130,452,72.32000000000001,0,0
2011,151,234,1053.0,175.5,1872,1170,468,1170,468,74.88,0,0
2011,158,244,1098.0,183.0,1952,1220,488,1220,488,78.08,0,0
2011,165,241,1084.5,180.75,1928,1205,482,1205,482,77.12,0,0
2011,172,241,1084.5,180.75,1928,1205,482,1205,482,77.12,0,0
2011,179,245,1102.5,183.75,1960,1225,490,1225,490,78.4,0,0
2011,186,242,1089.0,181.5,1936,1210,484,1210,484,77.44,0,0
2011,193,214,963.0,160.5,1712,1070,428,1070,428,68.48,0,0
2011,200,179,805.5,134.25,1432,895,358,895,358,57.28,0,0
2011,207,147,661.5,110.25,1176,735,294,735,294,47.04,0,0
2011,214,129,580.5,96.75,1032,645,258,645,258,41.28,0,0
2011,221,129,580.5,96.75,1032,645,258,645,258,41.28,0,0
2011,228,124,558.0,93.0,992,620,248,620,248,39.68,0,0
2011,235,100,450.0,75.0,800,500,200,500,200,32.0,0,0
2011,242,64,288.0,48.0,512,320,128,320,128,20.48,0,0
