year,j_day,actual,calculated,difference,delta,P_drainage,P_runoff,P_erosion,P_uptake
,,kg,kg,kg,kg,kg,kg,kg,kg
2009,244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009,245,0.0,1.1368683772161603e-13,-1.1368683772161603e-13,1.1368683772161603e-13,0.0,0.0,0.0,0.0
2009,246,0.0,-1.1368683772161603e-13,1.1368683772161603e-13,-1.1368683772161603e-13,0.0,0.0,0.0,0.0
2009,247,0.0,1.1368683772161603e-13,-1.1368683772161603e-13,1.1368683772161603e-13,0.0,0.0,0.0,0.0
2009,248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009,249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009,250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009,251,0.0,-1.1368683772161603e-13,1.1368683772161603e-13,-1.1368683772161603e-13,0.0,0.0,0.0,0.0
2009,252,0.0,1.1368683772161603e-13,-1.1368683772161603e-13,1.1368683772161603e-13,0.0,0.0,0.0,0.0
2009,253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009,254,0.0,-1.1368683772161603e-13,1.1368683772161603e-13,-1.1368683772161603e-13,0.0,0.0,0.0,0.0
2009,255,0.0,1.1368683772161603e-13,-1.1368683772161603e-13,1.1368683772161603e-13,0.0,0.0,0.0,0.0
2009,256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009,257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009,258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009,259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009,260,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009,261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009,262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009,263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009,264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009,265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009,266,0.0,0.011847231534968833,-0.011847231534968833,-0.06874048985241643,0.0,0.017634783366866733,0.06295293802051853,0.0
2009,267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009,268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009,269,0.0,-1.4238957235512828e-13,1.4238957235512828e-13,-0.0012006271707605265,0.001200627170618137,0.0,0.0,0.0
2009,270,0.0,1.1368683772161603e-13,-1.1368683772161603e-13,1.1368683772161603e-13,0.0,0.0,0.0,0.0
2009,271,0.0,-1.1368683772161603e-13,1.1368683772161603e-13,-1.1368683772161603e-13,0.0,0.0,0.0,0.0
2009,272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009,273,0.0,1.1368683772161603e-13,-1.1368683772161603e-13,1.1368683772161603e-13,0.0,0.0,0.0,0.0
2009,274,0.0,-4.5688252443484845e-14,4.5688252443484845e-14,-0.0002387804771615265,0.00023878047711583825,0.0,0.0,0.0
2009,275,0.0,0.011846469219769704,-0.011846469219769704,-0.040415822687350555,8.320819014045395e-05,0.015357768218660127,0.03682131549831968,0.0
2009,276,0.0,1.1368683772161603e-13,-1.1368683772161603e-13,1.1368683772161603e-13,0.0,0.0,0.0,0.0
2009,277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009,278,0.0,-1.5164649050380952e-13,1.5164649050380952e-13,-0.0022219552531623776,0.002221955253010731,0.0,0.0,0.0
2009,279,0.0,6.65231758567586e-14,-6.65231758567586e-14,-0.00029477101668362593,0.0002947710167501491,0.0,0.0,0.0
2009,280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009,281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009,282,0.0,7.235661722559961e-14,-7.235661722559961e-14,-0.0006224695941909886,0.0006224695942633452,0.0,0.0,0.0
2009,283,0.0,1.5936145632278187e-15,-1.5936145632278187e-15,-0.0004829697107879838,0.0004829697107895774,0.0,0.0,0.0
2009,284,0.0,-1.1368683772161603e-13,1.1368683772161603e-13,-1.1368683772161603e-13,0.0,0.0,0.0,0.0
2009,285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009,286,0.0,1.1368683772161603e-13,-1.1368683772161603e-13,1.1368683772161603e-13,0.0,0.0,0.0,0.0
2009,287,0.0,1.1368683772161603e-13,-1.1368683772161603e-13,1.1368683772161603e-13,0.0,0.0,0.0,0.0
2009,288,0.0,-1.1368683772161603e-13,1.1368683772161603e-13,-1.1368683772161603e-13,0.0,0.0,0.0,0.0
2009,289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009,290,0.0,-1.1368683772161603e-13,1.1368683772161603e-13,-1.1368683772161603e-13,0.0,0.0,0.0,0.0
2009,291,0.0,1.409468922868376e-13,-1.409468922868376e-13,-9.886102702694188e-06,9.88610284364108e-06,0.0,0.0,0.0
2009,292,0.0,-9.099687149627389e-14,9.099687149627389e-14,-0.0005054632996461805,0.0005054632995551837,0.0,0.0,0.0
2009,293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009,294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009,295,0.0,0.01184516273984093,-0.01184516273984093,-0.0006745558938519025,0.0,0.011924742069880381,0.0005949765638124498,0.0
2009,296,0.0,0.011841214290907079,-0.011841214290907079,-0.07990204256213929,0.0,0.0184580317900105,0.07328522506303586,0.0
2009,297,0.0,0.011840341077962679,-0.011840341077962679,-0.04396454347818235,0.0,0.015633549473689546,0.04017133508245548,0.0
2009,298,0.0,1.3353857949982562e-13,-1.3353857949982562e-13,-0.0012247074301967587,0.0012247074303302972,0.0,0.0,0.0
2009,299,0.0,-8.45417486017297e-14,8.45417486017297e-14,-0.0027112546936223225,0.0027112546935377808,0.0,0.0,0.0
2009,300,0.0,-8.451551090915554e-14,8.451551090915554e-14,-0.0017967941414553934,0.0017967941413708779,0.0,0.0,0.0
2009,301,0.0,1.3435471946142766e-13,-1.3435471946142766e-13,-1.7997159829974407e-05,1.7997159964329127e-05,0.0,0.0,0.0
2009,302,0.0,-4.928883026006879e-14,4.928883026006879e-14,-9.241222983291664e-06,9.241222934002833e-06,0.0,0.0,0.0
2009,303,0.0,0.011837532570992433,-0.011837532570992433,-0.06162775694986067,0.0005853526267649343,0.016992076258645347,0.05588786063544282,0.0
2009,304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009,305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009,306,0.0,6.989417725145053e-14,-6.989417725145053e-14,-0.0025077922582568135,0.0025077922583267077,0.0,0.0,0.0
2009,307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009,308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009,309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009,310,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009,311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009,312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009,313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009,314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009,315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009,316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009,317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009,318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009,319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009,320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
