year,actual,calculated,difference,delta,N_drainage,N_runoff,N_erosion,N_uptake
,kg,kg,kg,kg,kg,kg,kg,kg
1980,0.0,-178.36791725098223,178.36791725098223,-180.22085342869354,0.6220084006526694,1.2308077750173603,0.00012000204128146579,0.0
1981,0.0,0.038428990959808486,-0.038428990959808486,-8.056080348881721,7.3626923533755,0.7317319739565653,8.501250946438908e-05,0.0
1982,0.0,-0.0037294852168438205,0.0037294852168438205,-6.942197979053674,6.21927506864968,0.7190280660130804,0.000165359174069656,0.0
1983,0.0,-0.028319843874593974,0.028319843874593974,-14.128560499531233,13.625157501251667,0.47480647072968535,0.0002766836752856497,0.0
1984,0.0,0.030684886703248863,-0.030684886703248863,-5.3035030052522245,5.18366804169012,0.15043520160669083,8.464865866241478e-05,0.0
1985,0.0,0.031272994228547346,-0.031272994228547346,-0.28690501015998393,0.14191824340620507,0.17600055473735007,0.00025920624497613324,0.0
1986,0.0,0.023089141665363893,-0.023089141665363893,-10.105383142869698,10.03265431442136,0.09576557810378646,5.239200991567501e-05,0.0
1987,0.0,0.022739555646649614,-0.022739555646649614,-2.273952088645075,2.255223085820533,0.04141827015948969,5.028831170192073e-05,0.0
1988,0.0,0.04015120270076453,-0.04015120270076453,-1.8838112297180203,1.887437107971482,0.03638968216977133,0.00013564227753146312,0.0
1989,0.0,-0.02235500365596904,0.02235500365596904,-5.5798475217902705,5.543070160773002,0.014353287591115933,6.906977018322805e-05,0.0
1990,0.0,-0.05755020268072956,0.05755020268072956,-2.8078127592370947,2.7369545244432887,0.01323414352748969,7.38885855868473e-05,0.0
1991,0.0,0.043020958648634276,-0.043020958648634276,0.03372089546840584,0.0,0.009226612492406383,7.34506878220543e-05,0.0
1992,0.0,0.04882409312502653,-0.04882409312502653,0.027413018577931325,0.0,0.021257990301195788,0.00015308424589941343,0.0
1993,0.0,0.013304085030733149,-0.013304085030733149,-4.252770176464566,4.248310879177187,0.017590066995283087,0.00017331532282831581,0.0
1994,0.0,0.04693914030776144,-0.04693914030776144,0.032199965532271335,0.0,0.014544710826304612,0.000194463949185496,0.0
1995,0.0,-0.20939175321387216,0.20939175321387216,-17.609071653210435,17.392016205064344,0.00747472470618347,0.00018897022603393604,0.0
1996,0.0,0.014343033703968614,-0.014343033703968614,-5.39207195300537,5.402040675765621,0.004169869188111849,0.0002044417556063037,0.0
1997,0.0,0.03781840418001042,-0.03781840418001042,-3.297600343829288,3.334302920882826,0.0010448404669523527,7.098665951982227e-05,0.0
1998,0.0,-0.04849040891550406,0.04849040891550406,-7.377706078836553,7.327507102524493,0.0015996914972630299,0.00010887589929374395,0.0
1999,0.0,-0.008990593127989133,0.008990593127989133,-6.93220376594968,6.922635919493461,0.0005259999131688333,5.125341506149067e-05,0.0
2000,0.0,0.03339489391543776,-0.03339489391543776,-1.6323406796753375,1.6650086223345297,0.0006342647194956773,9.268653674982059e-05,0.0
2001,0.0,0.0468928023955679,-0.0468928023955679,0.04574202295549412,0.0,0.0009367766369783703,0.0002140028030954059,0.0
2002,0.0,0.04045234590505362,-0.04045234590505362,0.03982593051415506,0.0,0.0005574548442146592,6.896054668389802e-05,0.0
2003,0.0,0.05418237979540382,-0.05418237979540382,-0.6619244572261493,0.7154711555881015,0.0005412263536671698,9.445507978452678e-05,0.0
2004,0.0,0.039880093405329844,-0.039880093405329844,-1.1527430639176544,1.1914102579151942,0.001065894462111032,0.000147004945678886,0.0
2005,0.0,-0.023648737146535297,0.023648737146535297,-5.4071767677841365,5.38154904305718,0.0017101553732726447,0.000268832207148869,0.0
2006,0.0,0.019207733197150918,-0.019207733197150918,-7.7404473508989895,7.7589390780516,0.0005514117762793011,0.0001645942682612716,0.0
2007,0.0,0.04840007596438946,-0.04840007596438946,-0.07534232426476706,0.12330064344017425,0.00036703759801758154,7.471919096468848e-05,0.0
2008,0.0,0.04092179454039481,-0.04092179454039481,0.040093200691075026,0.0,0.0007728444189925503,5.574943032723034e-05,0.0
2009,0.0,-0.09799331657016008,0.09799331657016008,-1.6384246739828825,1.5392965775885556,0.0009392092563639462,0.00019557056780272663,0.0
2010,0.0,0.04011490908089282,-0.04011490908089282,-1.2798520894811958,1.3184943358611452,0.001271746562016164,0.00020091613892719197,0.0
2011,0.0,0.0017646712071748636,-0.0017646712071748636,-1.657376962266298,1.6585259640345202,0.0005496061359683776,6.606330298412274e-05,0.0
2012,769.6,0.35263068666945274,769.2473693133305,-1.6906818800823942,1.971362066062605,0.01574695125399046,0.05620354943525139,0.0
2013,951.6,1117.6577729664264,-166.05777296642634,1031.8450073945867,0.1155497913857545,29.678464741460925,0.5727461801613495,55.446004858831564
2014,624.0,728.209734937775,-104.20973493777501,-805.5010294632978,42.14117972400561,737.2048483843306,4.10733194492486,750.2574043478116
2015,780.0,1767.9735571186068,-987.9735571186068,780.1482183583155,5.1304558640130455,42.25828903432955,-54.36694016946847,994.8035340314171
2016,1253.1999999999998,2508.9954965648813,-1255.7954965648814,-27.578608759459257,35.6565351645564,640.8590689859273,5.466166831159527,1854.5923343426975
2017,0.0,4421.140260882789,-4421.140260882789,2530.8219243244644,7.072563678044827,28.601437489429678,0.052001048152726076,1854.5923343426975
2018,0.0,2129.134828606739,-2129.134828606739,130.96092511549705,15.96304167907081,127.19279076149549,0.4257367079782412,1854.5923343426975
2019,0.0,1897.555891118093,-1897.555891118093,-144.32733525800722,100.27298241603602,86.72854485769531,0.28936475967148806,1854.5923343426975
